,Passage
1206,herbivores plant eaters like elephant possess teeth adapted cutting tearing plant materials However except young infirm elephants always use trunks tear food place mouth graze grass reach trees grasp leaves fruit entire branches desired food item high elephant wrap trunk around tree branch shake food loose sometimes simply knock tree altogether
1207,trunk also used drinking Elephants suck water trunk fifteen quarts fourteen litres time blow mouth Elephants also inhale water spray body bathing top watery coating animal spray dirt mud act protective sunscreen swimming trunk makes excellent snorkel
1208,appendage also plays key role many social interactions Familiar elephants greet entwining trunks much like handshake also use playwrestling caressing courtship mother child interactions dominance displays â raised trunk warning threat lowered trunk sign submission Elephants defend well flailing trunk unwanted intruders grasping flinging
1209,elephant use trunk variety purposes one wiping eye
1210,elephant also relies trunk highly developed sense smell Raising trunk air swivelling side side like periscope determine location friends enemies food sources
1211,tusks elephant second upper incisors Tusks grow continuously adult males tusks grow 18 cm 7 year Tusks used dig water salt roots debark trees eat bark dig baobab trees get pulp inside move trees branches clearing path addition used marking trees establish territory occasionally weapons
1212,Like humans typically right lefthanded elephants usually right lefttusked dominant tusk called master tusk generally shorter rounded tip wear male female African elephants large tusks reach 3 10 ft length weigh 90 kg 200 lb Asian species males large tusks Female Asians tusks small absent altogether Asian males tusks long much larger Africans usually much slimmer lighter heaviest recorded 39 kg 86 lb tusk species mostly made calcium phosphate form apatite piece living tissue relatively soft compared minerals rock tusk also known ivory strongly favoured artists carvability desire elephant ivory one major factors reduction worlds elephant population
1213,extinct relatives elephants tusks lower jaws addition upper jaws Gomphotherium lower jaws Deinotherium
1214,Elephants teeth different mammals lives usually 28 teeth
1215,two upper second incisors tusks
1216,milk precursors tusks
1217,12 premolars 3 side jaw
1218,12 molars 3 side jaw
1219,Replica Asian Elephants molar showing upper side
1220,gives elephants dental formula
1221,Unlike mammals grow baby teeth replace permanent set adult teeth elephants cycles tooth rotation throughout entire life one year tusks permanent molars replaced six times average elephants lifetime teeth emerge jaws vertically like human teeth Instead horizontal progression like conveyor belt New teeth grow back mouth pushing older teeth toward front wear use remains fall elephant becomes old last set teeth worn stumps must rely softer foods chew elderly elephants often spend last years exclusively marshy areas feed soft wet grasses Eventually last teeth fall elephant unable eat die starvation tooth wearout metabolism would allow live much longer Rupert Sheldrake proposed explanation elephant graveyards However habitat destroyed elephants living space becomes smaller smaller elderly longer opportunity roam search appropriate food consequently die starvation earlier age
1222,Tusks lower jaw also second incisors grew large Deinotherium mastodons modern elephants disappear early without erupting
1223,Skin African elephant
1224,Elephants called pachyderms means thickskinned animals elephants skin extremely tough around parts body measures 25 centimetres 1 thick However skin around mouth inside ear paper thin Normally skin Asian covered hair African counterpart noticeable young Asian calves usually covered thick coat brownish red fuzz get older hair darkens becomes sparse always remain heads tails
1225,species elephants typically greyish colour Africans often appear brown reddish wallowing mud holes coloured soil Wallowing important behaviour elephant society important socialization mud acts sunscreen protecting skin harsh ultraviolet radiation Though tough elephants skin sensitive Without regular mud baths protect burning well insect bites moisture loss elephants skin would suffer serious damage bathing elephant usually use trunk blow dirt body help dry bake new protective coat elephants limited smaller smaller areas less water available local herds often come close right use limited resources
1226,Wallowing also aids skin regulating body temperatures Elephants difficulty releasing heat skin proportion body size little ratio elephants mass surface area skin many times human Elephants even observed lifting legs expose soles feet presumably effort expose skin air Since wild elephants live hot climates must means getting rid excess heat
1227,Elephant using feet crush watermelon prior eating
1228,elephants legs great straight pillars must support bulk elephant needs less muscular power stand straight legs large padlike feet reason elephant stand long periods time without tiring fact African elephants rarely lie unless sick wounded Indian elephants contrast lie frequently
1229,feet elephant nearly round African elephants three nails hind foot four front foot Indian elephants four nails hind foot five front foot Beneath bones foot tough gelatinous material acts cushion shock absorber elephants weight foot swells gets smaller weight removed elephant sink deep mud pull legs readily feet become smaller lifted
1230,elephant good swimmer neither trot jump gallop two gaits walk faster gait similar running walking legs act pendulums hips shoulders rising falling foot planted ground aerial phase faster gait meet criteria running elephants always least one foot ground However elephant moving fast uses legs like running animal hips shoulders falling rising feet ground gait elephant three feet ground one time hind feet front feet ground time gait likened hind legs front legs taking turns running Moore Tom May 2007 Biomechanics Spring Step Natural History 1164 289 Although start run 8 kmh elephants may reach 25 kmh using gait speed fourlegged creatures well gallop even leg length accounted Springlike kinetics may explain difference motion animals
1231,Walking normal pace elephant covers 3 6 kmh 2 4 mph reach 40 kmh 24 mph full speed
1232,Elephant sanctuary Punnathur kotta Kerala south India
1233,large flapping ears elephant also important temperature regulation Elephant ears made thin layer skin stretched cartilage rich network blood vessels hot days elephants flap ears constantly creating slight breeze breeze cools surface blood vessels cooler blood gets circulated rest animals body hot blood entering ears cooled much ten degrees Fahrenheit returning body Differences ear sizes African Asian elephants explained part geographical distribution Africans originated stayed near equator warmer Therefore bigger ears Asians live farther north slightly cooler climates thus smaller ears
1234,ears also used certain displays aggression males mating period elephant wants intimidate predator rival spread ears wide make look massive imposing breeding season males give odour gland located behind eyes Joyce Poole wellknown elephant researcher theorized males fan ears effort help propel elephant cologne great distances
1235,Evolution elephants ancient Eocene bottom modern day top
1236,Although fossil evidence uncertain scientists discovered genetic evidence elephant family shares distant ancestry Sirenians sea cows hyraxes gene comparisons distant past members hyrax family grew large sizes seems likely common ancestor three modern families kind amphibious hyracoid One theory suggests animals spent time water using trunks like snorkels breathing Modern elephants retained ability known swim manner 6 hours 50 km
1237,past much wider variety elephant genera including mammoths stegodons deinotheria also much wider variety species Todd N E 2001 African Elephas recki time space taxonomy pdf Cavarretta G P Gioia Mussi R Palombo World Elephants Proceedings 1st International Congress Consiglio Nazionale delle Ricerche Rome Italy Todd N E 2005 Reanalysis African Elephas recki implications time space taxonomy Quaternary International 1261286572
1238,Elephants herbivores spending 16 hours day collecting plant food diet least 50 grasses supplemented leaves bamboo twigs bark roots small amounts fruits seeds flowers elephants digest 40 eat make digestive systems lack efficiency volume adult elephant consume 140â270 kg 300â600 lb food day 60 food leaves elephants body undigested
1239,Human dolphin elephant brains scale 1cerebrum 1atemporal lobe 2cerebellum
1240,mass 5 kg 11 lb elephant brains larger land animal although largest whales body masses twentyfold typical elephant whale brains barely twice mass elephants wide variety behaviour including associated grief making music art altruism allomothering play use tools compassion selfawareness evidence highly intelligent species par cetaceans primates
1241,largest areas elephant brain responsible hearing smell movement coordination large portion brain trunk management sensitivity
1242,Elephants well innervated trunks exceptional sense hearing smell hearing receptors reside ears also trunks sensitive vibrations significantly feet special receptors low frequency sound exceptionally well innervated believed sound communication elephants large distances ground important social lives elephants observed listening putting trunks ground carefully moving sensitive feet
1243,Elephant footprints tire tracks scaleElephants live structured social order social lives male female elephants different females spend entire lives tightly knit family groups made mothers daughters sisters aunts groups led eldest female matriarch Adult males hand live mostly solitary lives
1244,social circle female elephant end small family unit addition encountering local males live fringes one groups females life also involves interaction families clans subpopulations immediate family groups range five fifteen adults well number immature males females group gets big elder daughters break form small group remain aware local herds relatives
1245,life adult male different gets older begins spend time edge herd gradually going hours days time Eventually days become weeks somewhere around age fourteen mature male bull sets natal group good males live primarily solitary lives occasionally form loose associations males groups called bachelor herds males spend much time females fighting dominance dominant males permitted breed cycling females less dominant ones must wait turn usually older bulls forty fifty years old breeding
1246,dominance battles males look fierce typically inflict little injury bouts form aggressive displays bluffs Ordinarily smaller younger less confident animal back real damage done However breeding season battles get extremely aggressive occasional elephant injured season known musth bull fight almost male encounters spend time hovering around female herds trying find receptive mate
1247,Mirror self recognition test self awareness cognition used animal studies mirror provided visible marks made elephant elephants investigated marks visible via mirror tests also included nonvisible marks rule possibility using senses detect marks shows elephants recognize fact image mirror self abilities considered basis empathy altruism higher social interactions ability earlier demonstrated humans apes Bottlenose Dolphins Joshua Plotnik Frans B de Waal Diana Reiss 2006 Selfrecognition Asian elephant Proceedings National Academy Sciences 1034517053â17057 101073pnas0608062103 abstract young elephant Zimbabwe
1248,African well Asiatic males engage samesex bonding mounting encounters often associated affectionate interactions kissing trunk intertwining placing trunks others mouths encounters analogous heterosexual bouts one male often extending trunk along others back pushing forward tusks signify intention mount Unlike heterosexual relations always fleeting nature males result companionship consisting older individual one two younger attendant males Samesex relations common frequent sexes Asiatic elephants captivity devoting roughly 45 sexual encounters samesex activity Bruce Bagemihl Biological Exuberance Animal Homosexuality Natural Diversity St Martins Press 1999 pp427430
1249,Elephants communicate long distances producing receiving lowfrequency sound infrasound subsonic rumbling travel ground farther sound travels air felt sensitive skin elephants feet trunk pick resonant vibrations much flat skin head drum listen attentively every member herd lift one foreleg ground face source sound often lay trunk ground lifting presumably increases ground contact sensitivity remaining legs ability thought also aid navigation use external sources infrasound Discovery new aspect elephant social communication perception came breakthroughs audio technology pick frequencies outside range human ear Pioneering research elephant infrasound communication done Katy Payne Elephant Listening Project detailed book Silent Thunder Though research still infancy helping solve many mysteries elephants find distant potential mates social groups able coordinate movements extensive range
1250,Females cows reach sexual maturity around 9â12 years age become pregnant first time average around age 13 reproduce ages 55â60 Females give birth intervals 5 years gestation pregnancy period lasts 22 months 630â660 days longest gestation period mammal typically one calf born Twins rare Labour ranges length 5 minutes 60 hours average length labour 11 hours birth calves weigh around 90â115 kg 200â250 lb gain 1 kg 2â25 lb day wild mother accompanied adult females aunts protect young baby elephants raised nurtured whole family group practically moment birth
1251,African elephant calf nursing
1252,first sound newborn calf usually makes sneezing snorting sound clear nasal passages fluids first minutes captive birth keepers must monitor calf closely first sound movement Whichever happens first mother typically responds new baby surprise excitement help mother newborn calf usually struggles feet within 30 minutes birth support often lean mothers legs newborn calf usually stands within one hour strong enough follow mother slowly moving herd within days
1253,Unlike mammals female elephants single pair mammary glands located behind front legs born calf 90 centimeters 3 feet high tall enough reach mothers nipples calf suckles mouth trunk muscle tone clear way mouth suckle calf flop trunk onto forehead newborn calf suckles minutes time many times per day consuming 11 litres 3 US gallons milk single day calf may nurse 2 years Complete weaning depends disposition mother amount available milk arrival another calf
1254,Newborn calves learn mainly observing adults instinct example calf learns use trunk watching older elephants using trunks takes several months calf control use trunk observed calf trips trunk trunk wiggles like rubbery object calf shakes head
1255,Elephant social life revolves around breeding raising calves female usually ready breed around age thirteen time seek attractive male mate Females generally attracted bigger stronger importantly older males reproductive strategy tends increase offsprings chances survival
1256,twentytwomonth pregnancy mother give birth calf weigh 113 kg 250 lb stand 76 cm 25 ft tall Elephants long childhood born fewer survival instincts many animals Instead must rely elders teach things need know Today however pressures humans put wild elephant populations poaching habitat destruction mean elderly often die younger age leaving fewer teachers young
1257,members tightly knit female group participate care protection young Since everyone herd related never shortage babysitters fact new calf usually centre attention herd members adults young gather around newborn touching caressing trunks baby born nearly blind first relies almost completely trunk discover world around
1258,initial excitement mother usually select several fulltime babysitters allomothers group According Cynthia Moss well known researcher allomothers help aspects raising calf walk young herd travels helping calves along fall get stuck mud allomothers baby free time mother feed Providing calf nutritious milk means mother eat nutritious food allomothers better calfs chances survival elephant considered allomother able baby benefit allomother gain experience receive assistance caring calf
1259,Elephants foraging activities affect areas live
1260,pulling trees eat leaves breaking branches pulling roots create clearings new young trees vegetation grow provide future nutrition elephants organisms
1261,Elephants make pathways environment used animals access areas normally reach pathways used several generations elephants today people converting many paved roads
1262,dry season elephants use tusks dig dry river beds reach underground sources water newly dug water holes may become source water area
1263,Elephants species many organisms depend example termites eat elephant feces often begin building termite mounds piles elephant feces
1264,threat African elephant presented ivory trade unique species Larger longlived slowbreeding animals like elephant susceptible overhunting animals hide takes many years elephant grow reproduce elephant needs average 140 kg 300 lb vegetation day survive large predators hunted local small grazer populations elephants food competitors find rise increased number herbivores ravage local trees shrubs grasses Elephants natural predators besides man occasionally lions
1265,Another threat elephants survival general ongoing cultivation habitats increasing risk conflicts interest human cohabitants conflicts kill 150 elephants 100 people per year Sri Lanka Lacking massive tusks African cousins Asian elephants demise attributed mostly loss habitat
1266,larger patches forest disappear ecosystem affected profound ways trees responsible anchoring soil absorbing water runoff Floods massive erosion common results deforestation Elephants need massive tracts land much like slashandburn farmers used crashing forest tearing trees shrubs food cycling back later area regrown forests reduced small pockets elephants become part problem quickly destroying vegetation area eliminating resources
1267,Elephant resting head tree trunk Samburu National Reserve Kenya
1268,elephant Ngorongoro crater Tanzania
1269,Africas first official reserve eventually became one worlds famous successful national parks Kruger National Park South Africa first became reserve great opposition 1898 Sabi Reserve deproclaimed reproclaimed several times renamed granted national park status 1926 first many
1270,many problems establishing reserves example elephants range wide tract land little regard national borders However parks created boundaries drawn humanmade borders individual countries fence erected many animals found cut winter feeding grounds spring breeding areas animals died result like elephants trampled fences little belie image cropraiding pest often elephant wandered reserve trouble got chance shot angry farmer confined small territories elephants inflict enormous amount damage local landscapes Today still many problems associated parks reserves little question whether necessary scientists learn nature environment becomes clear parks may elephants last hope rapidly changing world around
1271,Additionally Kruger National Park suffered elephant overcrowding expense species wildlife within reserve South Africa slaughtered 14562 elephants reserve 1967 1994 stopped 1995 mostly due international local pressure Without action predicted elephant population Kruger National Park triple 34000 2020
1272,harvest elephants legal illegal unexpected consequences elephant anatomy well African ivory hunters killing tusked elephants given much larger chance mating elephants small tusks tusks propagation absenttusk gene resulted birth large numbers tuskless elephants approaching 30 populations compare rate 1 1930 Tusklessness rare genetic abnormality become widespread hereditary trait
1273,possible unlikely continued selection pressure could bring complete absence tusks African elephants development normally requiring thousands years evolution effect tuskless elephants environment elephants could dramatic Elephants use tusks root around ground necessary minerals tear apart vegetation spar one another mating rights Without tusks elephant behaviour could change dramatically
1274,African Savanna Elephant Loxodonta africana born 1969 left Asian Elephant Elephas maximus born 1970 right English zoo
1275,Elephants working animals used various capacities humans Seals found Indus Valley suggest elephant first domesticated ancient India However elephants never truly domesticated male elephant periodic condition musth dangerous difficult control Therefore elephants used humans typically female war elephants exception however female elephants battle run male males could used war generally economical capture wild young elephants tame breeding captivity see also elephant crushing
1276,War elephants used armies Indian subcontinent later Persian empire use adopted Hellenistic armies Alexander Great experienced worth king Porus notably Ptolemaic Seleucid diadoch empires Carthaginian general Hannibal took elephants across Alps fighting Romans brought elephants much military use although horse cavalry quite successful probably used nowextinct third African subspecies North African Forest elephant smaller two southern cousins presumably easier domesticate large elephant full charge could cause tremendous damage infantry cavalry horses would afraid see Battle Hydaspes
1277,Throughout Siam India South Asia elephants used military heavy labour especially uprooting trees moving logs also commonly used executioners crush condemned underfoot
1278,Judean rebel Eleazar Maccabeus kills Seleucid war elephant crushed Miniature manuscript Speculum Humanae Salvationis
1279,Elephants also used mounts safaritype hunting especially Indian shikar mainly tigers ceremonial mounts royal religious occasions whilst Asian elephants used transport entertainment common circuses around world
1280,African elephants long reputed domesticable entrepreneurs succeeded bringing Asian mahouts Sri Lanka Africa Botswana Uttum Corea working African elephants several young tame elephants near Gaborone African elephants temperamental Asian elephants easier train sensitive temperaments require different training methods Asian elephants must trained infancy hence Corea worked orphaned elephants African elephants used photo safaris Coreas elephants also used entertain tourists haul logs
1281,Elephants also commonly exhibited zoos wild animal parks
1282,growing resistance capture confinement use wild elephants Animal rights advocates allege elephants zoos suffer life chronic physical ailments social deprivation emotional starvation premature death However zoos argue standards treatment elephants extremely high minimum requirements things minimum space requirements enclosure design nutrition reproduction enrichment veterinary care set ensure wellbeing elephants captivity
1283,founder IndoGreek Kingdom Bactria Demetrius 205171 BC wearing scalp elephant symbol conquest India
1284,Elephants embossed cover Kiplings original 1894 edition Jungle Book based art John Lockwood Kipling Rudyards father
1285,George Orwell wrote famous essay entitled Shooting Elephant chronicling 1926 episode forced shoot elephant served Imperial Policeman Burma
1286,phrase elephants never forget metaphorical meaning refers literally elephants supposedly excellent memory
1287,expression white elephant refers expensive burden particularly situation much invested false expectations phrase white elephant sale sometimes used Australia synonym jumble sale
1288,Jumbo circus elephant entered English language synonym large
1289,Dumbo elephant learns fly Disney movie name
1290,French childrens storybook character Babar Elephant elephant king created Jean de Brunhoff also animated TV series
1291,Oakland Athletics mascot white elephant story picking mascot started New York Giants manager John McGraw told reporters Philadelphia manufacturer Benjamin Shibe owned controlling interest new team âwhite elephant hands Connie Mack defiantly adopted white elephant team mascot though years elephant appeared several different colours currently forest green Aâs sometimes though infrequently referred Elephants White Elephants team mascot nicknamed Stomper
1292,Elephants Child one Rudyard Kiplings Stories
1293,Horton Hatches Egg book Dr Seuss faithful elephant sits nest irresponsible bird months
1294,Joseph Merrick British man Victorian England nicknamed Elephant Man due nature extent deformities
1295,American band White Stripes fourth album entitled Elephant possibly lead singer Jack Whites fondness animals extreme sensitivity toward album 390 Rolling Stone magazines 500 Best Albums Time
1296,Thai movie TomYumGoong US title Protector UK title Warrior King man named Kham travels Thailand Australia pursuit poachers stolen two elephants Kham member family protects elephants King Thailand movie directed Prachya Pinkaew stars Tony Jaa
1297,J R R Tolkiens Lord Rings story exist oliphaunts housesized versions elephants
1298,Esala Perahera Kandy Sri Lanka
1299,elephant carrying Thidambu Thrissur Pooram festival Kerala south India
1300,scattered skulls prehistoric pygmy elephants Crete featuring single large nasal cavity front may formed basis belief existence cyclops oneeyed giants featured Homers Odyssey
1301,white elephant considered holy Thailand
1302,Ganesh Hindu god wisdom elephants head
1303,Elephants used festivals Sri Lanka Esala Perahera
1304,story Blind Men Elephant written show reality may viewed different perspectives source unknown appears originated India attributed Buddhists Hindus Jainists Sufis also used Discordians
1305,JudeoChristian accounts including Midrash sixth chapter apocryphal book 1 Maccabees youngest Hasmonean brothers Eleazar Maccabee stuck spear foot elephant carrying important GreekAssyrian general killing elephant general Eleazar
1306,newspaper clip shows election officials carrying EVM Electronic Voting Machine elephant officials travelling remote polling station inaccessible means transport
1307,Alexanders victory Indian king Porus captured war elephants became symbol imperial power used emblem Seleucid diadoch empire eg coins
1308,elephant white elephant also religious symbol Buddha particular often used symbol royal power prestige Asia occurring flag kingdom Laos three visible supporting umbrella another symbol royal power till became republic 1975 Indochinese Thai realms also displayed one white elephants
1309,elephant also symbol Republican Party United States originating 1874 cartoon Asian elephant Thomas Nast Harpers Weekly Nast also originated donkey symbol Democratic Party
1310,Order Elephant highest order Denmark instituted current form 1693 King Christian V collar order consists alternating elephants towers badge shows elephant bearing watch tower front Moor sitting holding golden spear
1311,Elephants among worlds potentially dangerous animals capable crushing killing land animal humans lions even rhinoceros experience unexpected bouts rage vindictive Africa groups young teenage elephants attack human villages thought revenge destruction society massive cullings done 1970s 80s India male elephants attack villages night destroying homes killing people regular basis Indian state Jharkhand 300 people killed elephants 2000 2004 Assam 239 people killed elephants since 2001 India alone 200 elephantcaused human deaths every year Sri Lanka around 50 per year
1312,Adult male elephants naturally enter periodic state called musth Hindi madness sometimes spelt must English characterised excited andor aggressive behavior thick tarlike liquid secretion discharges temporal ducts temporal glands sides head
1313,Musth linked sexual arousal establishing dominance relationship far clear Numerous cases elephant goring killing rhinoceroses national parks Africa documented attributed musth young male elephants especially growing absence older males Studies show reintroducing older males population seem effect preventing younger males entering musth therefore stopping aggressive behavior Killing black white rhinoceroses African elephants HluhluweUmfolozi Park South Africa Rob Slotow Dave Balfour Owen Howison Pachyderm 31 JulyDecember 20011420 Accessed September 14 2007
1314,musth elephant wild domesticated extremely dangerous humans Domesticated elephants India traditionally tied tree denied food water several days musth passes zoos musth often cause fatal accidents elephant keepers Zoos keeping adult male elephants need extremely secure enclosures greatly complicates attempts breed elephants zoos
1315,Musth accompanied significant rise reproductive hormones Testosterone levels elephant musth much 60 times greater elephant times However whether hormonal surge sole cause musth merely contributing factor unknown scientific investigation musth greatly hindered fact even otherwise placid elephants may actively try kill humans Similarly tarlike secretion remains largely uncharacterised due difficulties collecting sample analysis
1316,Although often speculated musth linked rut unlikely female elephants estrus cycle seasonallylinked Furthermore bulls musth often known attack female elephants regardless whether females heat
1317,Hindi word musth Urdu mast turn Persian root meaning intoxicated
1318,Channel 5 British television program Dark Side Elephants March 20 2006 stated musth
1319,swelling temporal glands presses elephants eyes causes elephant severe pain comparable severe root abscess toothache One elephant behaviour tries counteract digging tusks ground
1320,musth secretion naturally runs elephants mouth full ketones aldehydes human least tastes unbelievably foul
1321,result musth behaviour least partly due elephant driven mad pain distress
1322,Steve Hirano tries hold Tyke elephant behind gate rampage
1323,least elephants suspected drunk attacks December 1998 herd elephants overran village India Although locals reported nearby elephants recently observed drinking beer rendered unpredictable officials considered least likely explanation attack attack another Indian village occurred October 1999 locals believed reason drunkenness theory widely accepted Purportedly drunk elephants raided yet another Indian village December 2002 killing six people led killing 200 elephants locals Elephants used powers deduction hijack trucks carrying sugarcane
1324,Rogue elephant term lone violently aggressive wild elephant separated rest herd calque Sinhala term hora aliya introduction English attributed Oxford English Dictionary Sir James Emerson Tennent usage may predated William Sirr
1325,parts Africa lions prey elephants Lions known natural predators elephants
1326,Elephants variety ectoparasites endoparasites including highly specialized flies genus Cobboldia
1327,1 supposed African Pygmy Elephant Loxodonta africana pumilio Loxodonta fransseni indistinguishable normal African Forest Elephant population genetics level appears local morph Status socalled African pygmy elephant Loxodonta pumilio NOACK 1906 Accessed December 16 2007
1328,2 elephant population Vietnam Laos undergoing tests determine fifth subspecies
1329,3 subfamily LophodontinaeRhynchotheriinae placed authors within gomphotheres others consider true Elephantidae
1330,Temple Elephants India â short video Quicktime format
1331,African Elephant Database â current info African elephant distribution numbers
1332,Elephant Sanctuary Howenwald Tenn
1333,Republic Ghana country West Africa borders CÃte dIvoire also known Ivory Coast west Burkina Faso north Togo east Gulf Guinea south word Ghana means Warrior King Jackson John G Introduction African Civilizations 2001 Page 201 source name Guinea via French Guinoye used refer West African coast Gulf Guinea
1334,Ghana inhabited precolonial times number ancient kingdoms including Ga Adangbes eastern coast inland Empire Ashanti various Fante states along coast inland Trade European states flourished contact Portuguese 15th century British established crown colony Gold Coast 1874 MacLean Iain Rational Choice British Politics Analysis Rhetoric Manipulation Peel Blair 2001 Page 76
1335,Upon achieving independence United Kingdom 1957 Peter N Stearns William Leonard Langer Encyclopedia World History Ancient Medieval Modern Chronologically Arranged 2001 Page 1050 name Ghana chosen new nation reflect ancient Empire Ghana extended throughout much western Africa
1336,Medieval Ghana 4th 13th CenturyThe Republic Ghana named medieval Ghana Empire West Africa actual name Empire Wagadugu Ghana title kings ruled kingdom controlled Sundiata 1240 AD absorbed larger Mali Empire Mali Empire reached peak success Mansa Musa around 1307
1337,Geographically old Ghana 500 miles north present Ghana occupied area Rivers Senegal Niger
1338,inhabitants present Ghana ancestors linked medieval Ghana traced Mande Voltaic people Northern GhanaMamprussi Dagomba Gonja
1339,Anecdotal evidence connected Akans Empire evidence lies names like Danso shared Akans present Ghana Mandikas SenegalGambia strong links Empire
1340,Ghana also site Empire Ashanti advanced black state subSahara Africa said peak King Ashanti could field 500000 troops
1341,Gold Coast European Exploration March 1957 Ghana called Gold Coast Portuguese came Ghana 15th Century found much gold rivers Ankobra Volta named place Mina meaning Mine Gold Coast later adopted English colonisers Similarly French equally impressed trinkets worn coastal people named Ivory Coast Cote dIvoire
1342,1482 Portuguese built Elmina Castle aim trade gold ivory slaves 1481 King John II Portugal sent Diogo dAzambuja build castle
1343,1598 Dutch joined built forts Komenda Kormantsi 1637 captured castle Portuguese Axim 1642 Fort St Anthony European traders joined mid 17th century English Danes Swedes coastline dotted 30 forts castles built Dutch British Danish merchants highest concentration European military architecture outside Europe latter part 19th century Dutch British traders left Dutch withdrew 1874 Britain made Gold Coast crown colony
1344,central subSaharan Africa agricultural expansion marked period 500 Farming began earliest southern tips Sahara eventually giving rise village settlements Toward end classical era larger regional kingdoms formed West Africa one Kingdom Ghana north today nation Ghana fall beginning 13th century Akan migrants moved southward founded several nationstates including first great Akan empire Bono known ibalBrong Ahafo region Ghana Later Akan groups Ashanti federation Fante states thought possibly roots original Bono settlement Bono manso Much area united Empire Ashanti 16th century Ashanti government operated first loose network eventually centralized kingdom advanced highlyspecialized bureaucracy centered Kumasi
1345,first contact Ghanaian peoples Fantes coastal area Europeans occurred 1482 Portuguese first landed Elmina coastal city inhabited Fanti nationstate 1482 next centuries parts area controlled British Portuguese Scandinavian powers British ultimately prevailing nationstates maintained varying alliances colonial powers resulted 1806 AshantiFante War well ongoing struggle Empire Ashanti British Moves toward regional decolonization began 1946 areas first constitution promulgated 1951
1346,Formed merger British colony Gold Coast Empire Ashanti British Togoland trust territory UN sponsored plebiscite Ghana became first democratic subSahara country colonial Africa gain independence 1957 Kwame Nkrumah founder first president modern Ghanaian state African anticolonial leader also one dream united Africa would drift neocolonialism first African head state espouse PanAfricanism idea came contact studies Lincoln University Pennsylvania United States time Marcus Garvey becoming famous Back Africa Movement merged dreams Marcus Garvey celebrated AfricanAmerican scholar WEB Du Bois formation modern day Ghana Ghanas principles freedom justice equity free education irrespective ethnic background religion creed borrow Osagyefo Dr Kwame Nkrumahs implementation PanAfricanism
1347,Nkrumah overthrown supported CIAbacked coup Interview John Stockwell Pandoras Box Black Power Adam Curtis BBC Two 22 June 1992 Nkrumah assassination CIA Gaines Kevin 2006 American Africans Ghana Black expatriates Civil Rights Era University North Carolina Press Chapel Hill series subsequent coups ended ascension power Flight Lieutenant Jerry Rawlings 1981 changes resulted suspension constitution 1981 banning political parties new constitution restoring multiparty politics promulgated 1992 Rawlings elected president free fair elections year elections 1996 serve second term constitution prohibited running third term John Kufuor current president serving second term ends 2008 another election held elect new president year 2007 marks Ghanas Golden Jubilee celebration 50year anniversary March 6th 1957
1348,Ghana republic member Commonwealth Nations head state President John Agyekum Kufuor ninth leader country since independence government sits Osu Castle Parliament Ghana unicameral dominated two main parties New Patriotic Party National Democratic Congress
1349,Well endowed natural resources Ghana twice per capita output poorer countries West Africa Even Ghana remains heavily dependent international financial technical assistance Gold timber cocoa diamond bauxite manganese exports major sources foreign exchange World Factbook oilfield reported contain 3 billion barrels light oil discovered 2007
1350,domestic economy continues revolve around subsistence agriculture accounts 50 GDP employs 85 work force World Factbook mainly small landholders Ghana made progress threeyear structural adjustment programme cooperation IMF negative side public sector wage increases regional peacekeeping commitments led continued inflationary deficit financing depreciation Cedi rising public discontent Ghanas austerity measures Even Ghana remains one economically sound countries Africa
1351,country since July 2007 embarked currency redenomination exercise Cedi Â new currency Ghana Cedi GHÂ transfer rate 1 Ghana Cedi every 10000 Cedis Bank Ghana embarked upon aggressive media campaign educate public redenomination entails new Ghana Cedi exchanging rate 1 USD GhÂ 093
1352,Value Added Tax consumption tax administered Ghana tax regime started 1998 single rate since September 2007 entered multiple rate regime
1353,1998 rate tax 10 amended 2000 215 However passage Act 734 2007 3 VAT Flat Rate Scheme VFRS begun operate retail distribution sector allows retailers taxable goods Act 546 charge marginal 3 sales account VAT Service aimed simplifying tax system increasing compliance hope government properly monitored would ultimately increase tax revenue country
1354,Regions Ghana
1355,Ghana divided 10 regions subdivided total 138 districts regions
1356,Map Ghana
1357,Ghana country located Gulf Guinea degrees north Equator therefore giving warm climate Greenwich Meridian also passes Ghana specifically industrial city GhanaTema said Ghana geographically closer center world country La Cote dIvoire located west Ghana Burkina Faso Togo located north east respectively coastline mostly low sandy shore backed plains scrub intersected several rivers streams tropical rain forest belt broken heavily forested hills many streams rivers extends northward shore North belt land covered low bush parklike savannah grassy plains
1358,climate tropical eastern coastal belt warm comparatively dry see Dahomey Gap southwest corner hot humid north hot dry Lake Volta worlds largest artificial lake extends large portions eastern Ghana
1359,Major Ethnic groups Akan 49 MoshiDagomba 16 Ewe 13 Ga 8 European 02
1360,Religions Christian 63 African beliefs 21 Muslim 16 Facts People Ghana accessed July 13 2006
1361,100 languages dialects spoken Ghana English countrys official language predominates government business affairs also standard language used educational instruction Native Ghanaian languages divided two linguistic subfamilies NigerCongo language family Languages belonging Kwa subfamily found predominantly south Volta River belonging Gur subfamily found predominantly north Kwa group spoken 75 countrys population includes Akan GaDangme Ewe languages Gur group includes Gurma Grusi Dagbani languages
1362,Nine languages status governmentsponsored languages Akan DagaareWale Dagbani Dangme Ewe Ga Gonja Kasem Nzema Though official language Hausa linguafranca spoken among Ghanas Muslims comprise 14 population
